Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at HomeRoad
Jonathan Bernier, 26.336633663366335, 27.06578947368421, 'No Data', 31.571428571428573
Mackenzie Blackwood, 27.102040816326532, 28.1, 'No Data', 31.0
Brendan Smith, 1.2131147540983607, 'No Data', 1.6666666666666667
Tomas Tatar, 1.9534883720930232, 2.0964797913950455, 2.125, 'No Data'
Erik Haula, 1.7216666666666667, 1.7321428571428572, 'No Data', 1.5217391304347827
Ondrej Palat, 1.8821752265861027, 'No Data', 1.946969696969697
Dougie Hamilton, 2.8489795918367347, 2.6206896551724137, 2.6496350364963503, 'No Data'
Damon Severson, 1.5178571428571428, 1.6228209191759113, 'No Data', 1.5789473684210527
Miles Wood, 2.1918158567774935, 2.125, 2.033333333333333, 'No Data'
Ryan Graves, 0.8, 1.6829268292682926, 'No Data', 1.5
Curtis Lazar, 1.1091314031180401, 'No Data', 1.1772151898734178, 1.0555555555555556
Vitek Vanecek, 24.181818181818183, 25.80952380952381, 'No Data', 22.5
Jonas Siegenthaler, 0.9625, 1.1666666666666667, 'No Data', 1.0769230769230769
Timo Meier, 3.0, 3.287280701754386, 'No Data', 3.12
John Marino, 1.1050420168067228, 'No Data', 1.8, 1.0
Jesper Bratt, 1.9821428571428572, 2.040214477211796, 2.125, 'No Data'
Nathan Bastian, 1.3522012578616351, 3.0, 'No Data', 1.65625
Michael McLeod, 0.5, 1.0614035087719298, 'No Data', 1.0754716981132075
Nico Hischier, 1.6363636363636365, 2.378082191780822, 2.272727272727273, 'No Data'
Jesper Boqvist, 0.3333333333333333, 1.1371428571428572, 'No Data', 1.04
Kevin Bahl, 0.6730769230769231, 0.2857142857142857, 'No Data'
Akira Schmid, 0, 19.75, 19.45, 'No Data'
Yegor Sharangovich, 2.727272727272727, 2.026178010471204, 3.0, 'No Data'
Dawson Mercer, 1.9324324324324325, 2.0, 2.761904761904762, 'No Data'
